Sample Name,Mean target coverage
I-H-133902-N2-1-D1-1,420.1
I-H-118725-T6-1-D1-2,416.6
I-H-133889-N1-1-D1-1,416.6
I-H-133900-N1-1-D1-1,410
I-H-133902-N1-1-D1-1,408.9
I-H-133523-T3-1-D1-1,404.8
I-H-118732-T2-1-D1-1,398.1
I-H-118726-T1-2-D1-1,395
I-H-118728-T8-1-D1-1,390.3
I-H-118725-T6-1-D1-1,369.6
I-H-133428-T4-1-D1-2,235.9
I-H-133428-T4-1-D1-1,201
